program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_01040,bfs,1077,7,7458,710758,10584968.0,0,120
train_01040,default,1077,9,7440,806583,13161544.0,0,120
train_01040,dfs,1077,13,11466,3542438,10722946.0,0,120
train_01040,nurs_covnew,1074,9,7358,621893,12893304.0,0,120
train_01040,nurs_md2u,1074,9,7358,489538,12769438.0,0,120
train_01040,nurs_qc,1060,12,7364,619362,10360503.0,0,120
train_01040,random-path,1077,7,7342,515167,10203100.0,0,120
train_01041,bfs,1045,200,5530876,2355037,10057158.0,0,120
train_01041,default,1045,376,772109,10357505,13093414.0,0,120
train_01041,dfs,1045,186,5240277,2310329,10054520.0,0,120
train_01041,nurs_covnew,1045,408,519493,12560475,14632108.0,0,120
train_01041,nurs_md2u,1045,415,536427,12094785,14136804.0,0,120
train_01041,nurs_qc,1045,359,1219955,9791928,13296260.0,0,120
train_01041,random-path,1045,193,3662945,2329847,10115359.0,0,120
train_01122,bfs,1077,1,55943,2,112606.0,0,124
train_01122,default,1077,1,55943,2,113291.0,0,124
train_01122,dfs,1077,1,55943,2,105009.0,0,124
train_01122,nurs_covnew,1077,1,55943,2,115538.0,0,124
train_01122,nurs_md2u,1077,1,55943,2,112459.0,0,124
train_01122,nurs_qc,1077,1,55943,1,111418.0,0,124
train_01122,random-path,1077,1,55943,2,105180.0,0,124
train_01123,bfs,1121,510,96006,9583225,10272567.0,0,131
train_01123,default,1121,485,66075,9605819,10451139.0,0,131
train_01123,dfs,1121,559,138293,9439958,10125212.0,0,131
train_01123,nurs_covnew,1121,478,53378,9775017,10605964.0,0,131
train_01123,nurs_md2u,1121,487,54326,9706584,10584023.0,0,131
train_01123,nurs_qc,1121,398,30289,10018339,10782006.0,0,131
train_01123,random-path,1121,569,126275,9349961,10203263.0,0,131
train_01124,bfs,1044,18,8231,11016446,11091162.0,0,128
train_01124,default,1044,19,8322,10717133,10783188.0,0,128
train_01124,dfs,1042,16,8248,10738721,10799692.0,0,128
train_01124,nurs_covnew,1044,19,8271,10093651,10168635.0,0,128
train_01124,nurs_md2u,1044,19,8310,10965875,11032346.0,0,128
train_01124,nurs_qc,1044,18,8249,10808027,10873542.0,0,128
train_01124,random-path,1044,18,8317,10590387,10657910.0,0,128
train_01128,bfs,1009,1,7278,2,37865.0,0,120
train_01128,default,1009,1,7278,3,38892.0,0,120
train_01128,dfs,1009,1,7278,2,38284.0,0,120
train_01128,nurs_covnew,1009,1,7278,2,39036.0,0,120
train_01128,nurs_md2u,1009,1,7278,2,40340.0,0,120
train_01128,nurs_qc,1009,1,7278,2,38951.0,0,120
train_01128,random-path,1009,1,7278,2,37059.0,0,120
train_01129,bfs,1027,232,446029,7855202,10126699.0,0,123
train_01129,default,1027,172,145261,9820094,11471350.0,0,123
train_01129,dfs,1005,149,9164,16087422,17294486.0,0,123
train_01129,nurs_covnew,1027,161,107517,11266278,12807484.0,0,123
train_01129,nurs_md2u,1027,172,119896,11261567,12801282.0,0,123
train_01129,nurs_qc,1027,155,101507,11522568,12868940.0,0,123
train_01129,random-path,1027,210,345482,7692390,10177772.0,0,123
train_01143,bfs,990,31,9474,10431086,10499612.0,0,117
train_01143,default,990,31,9474,10472013,10538754.0,0,117
train_01143,dfs,946,31,8362,10690560,10751535.0,0,117
train_01143,nurs_covnew,990,31,9495,10688748,10753997.0,0,117
train_01143,nurs_md2u,990,31,9495,10502595,10565552.0,0,117
train_01143,nurs_qc,990,31,9474,10539739,10602353.0,0,117
train_01143,random-path,990,31,9467,10573807,10642007.0,0,117
train_01176,bfs,1011,56770,850428,4417294,10025480.0,0,119
train_01176,default,1011,40662,528712,8566176,28280750.0,0,119
train_01176,dfs,987,638,22530,10976839,12368385.0,0,119
train_01176,nurs_covnew,1011,44839,530704,9374950,30455486.0,0,119
train_01176,nurs_md2u,1011,42629,462094,3789021,10033621.0,0,119
train_01176,nurs_qc,1011,38949,461637,9124254,28835409.0,0,119
train_01176,random-path,1011,46635,583042,3631822,10037358.0,0,119
train_01178,bfs,972,1,6926,1,63002.0,0,124
train_01178,default,972,1,6926,2,64852.0,0,124
train_01178,dfs,972,1,6926,2,69912.0,0,124
